Hotel Name									,Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax
Gokulam Park,"4,1",Very Good,1058,4,Chithirapuram,city centre,"10,2 km","2.728,00","574,00"
Sterling Munnar,"3,8",Very Good,1088,4,Chinnakanal,city centre,"19,2 km","4.451,00","969,00"
Issacs Residency,"4,1",Very Good,322,3,Central Munnar,Attukal Waterfalls,950 m,"2.758,00","684,00"
Tea Valley Resort,"4,3",Excellent,1337,4,Pallivasal,city centre,"4,8 km","2.675,00","756,00"
Grand Plaza,"4,3",Excellent,1058,4,Moolakadai,Attukal Waterfalls,"1,9 km","3.203,00","654,00"
Misty Mountain Resort,"4,2",Very Good,1934,4,Pallivasal,city centre,"7,5 km","3.145,00","848,00"
Eastend Munnar,"3,9",Very Good,437,4,Central Munnar,Attukal Waterfalls,770 m,"3.493,00","713,00"
Seven Springs Plantation Resort,"3,7",Very Good,6,3,Laxmi Estate,city centre,"12,3 km","2.255,00","554,00"
Clouds Valley Leisure Hotel,4,Very Good,599,4,Near Munnar Bus Stand,Attukal Waterfalls,"2,2 km","2.595,00","530,00"
Broad Bean Resort & Spa,"4,1",Very Good,249,5,Muthirapuzhayar Road,city centre,"13,1 km","5.583,00","1.141,00"
KTDC Tea County,"4,4",Excellent,851,4,Central Munnar,Attukal Waterfalls,"1,7 km","5.022,00","1.026,00"
Parakkat Nature Resorts,"4,3",Excellent,1310,5,Pallivasal,city centre,"7,8 km","9.977,00","2.682,00"
"Chithirapuram Palace | Rooms & Restaurant
Like a 3","4,5",Excellent,96,,Chithirapuram,city centre,"10,8 km","2.494,00","634,00"
Devonshire Greens - The Leisure Hotel & Spa,"3,9",Very Good,431,5,Pallivasal,city centre,"5,9 km","4.815,00","1.177,00"
Sn Holiday Home,"4,2",Very Good,369,,Anachal,city centre,"11,1 km","966,00","229,00"
Vibe Munnar,"4,6",Excellent,136,5,Ettycity Road,city centre,"13,1 km","7.905,00","238,00"
